participant,mu,mu_list,time,intensity,deltaf,rt,dr
beth,1,MU01,c1,20,,22.99564828,10.22999724
beth,2,MU02,c1,20,2.934115468,31.01435724,12.09425776
beth,3,MU03,c1,20,2.612674387,32.07972954,9.26442704
beth,4,MU04,c1,20,,59.12716353,11.75856537
beth,5,MU05,c1,20,,73.95852171,9.276948091
beth,6,MU06,c1,20,,76.5829834,10.89643042
beth,7,MU07,c1,20,3.495370527,76.92327939,10.7019013
beth,8,MU08,c1,20,,,
beth,1,MU01,c1,40,,16.62835239,12.41261991
beth,2,MU02,c1,40,3.745297661,23.40378847,14.26318042
beth,3,MU03,c1,40,3.556382059,25.95115194,11.93902433
beth,4,MU04,c1,40,,,
beth,5,MU05,c1,40,,44.98604052,13.42017486
beth,6,MU06,c1,40,,,
beth,7,MU07,c1,40,2.686068836,37.48578954,13.58215617
beth,8,MU08,c1,40,,53.20001076,13.04158033
beth,1,MU09,c2,20,,20.41056104,10.61841865
beth,2,MU10,c2,20,2.154059527,26.40334817,9.854244257
beth,3,MU11,c2,20,,32.09035693,14.20242387
beth,4,MU12,c2,20,,44.71888289,9.630187892
beth,5,MU13,c2,20,2.280815949,52.07733564,11.23693883
beth,6,MU14,c2,20,,81.05292666,9.427360174
beth,7,MU15,c2,20,,92.15313583,7.54593854
beth,8,MU16,c2,20,,,
beth,1,MU09,c2,40,,8.823035032,11.96780994
beth,2,MU10,c2,40,3.110657086,18.30362641,11.68023681
beth,3,MU11,c2,40,,8.08917167,14.98699083
beth,4,MU12,c2,40,,40.78228675,9.103481874
beth,5,MU13,c2,40,2.605488061,32.11857805,12.90275671
beth,6,MU14,c2,40,,71.92372983,9.623192957
beth,7,MU15,c2,40,,79.57339633,9.72449101
beth,8,MU16,c2,40,,50.22336924,14.02168913
beth,1,MU17,post,20,,18.90727275,10.6413116
beth,2,MU18,post,20,,30.70864574,9.692461475
beth,3,MU19,post,20,,31.94922763,11.31322467
beth,4,MU20,post,20,,35.69385367,14.46015549
beth,5,MU21,post,20,,40.44822161,11.20028597
beth,6,MU22,post,20,,41.08458162,9.825679141
beth,7,MU23,post,20,,42.72933422,10.92647403
beth,8,MU24,post,20,,55.19348467,9.455530212
beth,9,MU25,post,20,1.036927762,58.94117723,10.50228748
beth,10,MU26,post,20,,67.36625544,9.812844993
beth,11,MU27,post,20,,,
beth,12,MU28,post,20,,,
beth,13,MU29,post,20,,,
beth,1,MU17,post,40,,,
beth,2,MU18,post,40,,,
beth,3,MU19,post,40,,19.77905023,14.64449969
beth,4,MU20,post,40,,,
beth,5,MU21,post,40,,,
beth,6,MU22,post,40,,20.41738673,13.69327388
beth,7,MU23,post,40,,,
beth,8,MU24,post,40,,,
beth,9,MU25,post,40,3.422932298,29.34603063,14.44840845
beth,10,MU26,post,40,,,
beth,11,MU27,post,40,,41.67297676,14.59844301
beth,12,MU28,post,40,,45.86212437,12.37225137
beth,13,MU29,post,40,,76.69633831,14.88460016
bill,1,MU30,c1,20,,41.57311336,10.85176415
bill,2,MU31,c1,20,,47.54964327,10.78065911
bill,3,MU32,c1,20,,49.68152807,10.64280441
bill,4,MU33,c1,20,,53.18112783,10.60725741
bill,5,MU34,c1,20,1.942726035,74.19731156,9.572113508
bill,6,MU35,c1,20,2.001453122,77.89591259,9.390694884
bill,7,MU36,c1,20,2.930581021,85.9284936,13.18810713
bill,8,MU37,c1,20,,87.29232701,8.889142342
bill,9,MU38,c1,20,,92.42809701,7.583720013
bill,1,MU30,c1,40,,27.71911122,11.46169126
bill,2,MU31,c1,40,,32.11593308,10.44074901
bill,3,MU32,c1,40,,28.85659067,13.55054831
bill,4,MU33,c1,40,,36.4030017,11.66965658
bill,5,MU34,c1,40,2.57763727,49.00317741,12.58685453
bill,6,MU35,c1,40,2.524122513,59.63424492,10.95727523
bill,7,MU36,c1,40,3.317207052,62.71923865,13.76256835
bill,8,MU37,c1,40,,,
bill,9,MU38,c1,40,,69.97956734,12.44925426
bill,1,MU39,c2,20,,62.36207027,8.613085171
bill,2,MU40,c2,20,,62.74679164,7.840400824
bill,3,MU41,c2,20,,74.02924204,8.635815888
bill,4,MU42,c2,20,,73.09114406,10.28609217
bill,5,MU43,c2,20,,75.3149082,7.879713174
bill,6,MU44,c2,20,2.461861217,76.24261391,9.551059451
bill,7,MU45,c2,20,,80.31577587,5.820077058
bill,8,MU46,c2,20,,84.06206108,8.328358526
bill,9,MU47,c2,20,,89.00745226,10.23474444
bill,10,MU48,c2,20,2.525312132,91.47977451,8.283511107
bill,11,MU49,c2,20,1.831625939,93.06745249,6.854587624
bill,12,MU50,c2,20,,,
bill,1,MU39,c2,40,,39.68351153,10.63602531
bill,2,MU40,c2,40,,31.90398964,10.71822041
bill,3,MU41,c2,40,,42.39201088,11.6804292
bill,4,MU42,c2,40,,49.80580379,12.95938951
bill,5,MU43,c2,40,,46.3089647,10.54298885
bill,6,MU44,c2,40,3.705041837,49.86178068,12.08942163
bill,7,MU45,c2,40,,38.7322561,8.028073006
bill,8,MU46,c2,40,,40.61272129,10.41666561
bill,9,MU47,c2,40,,56.56875428,13.29488865
bill,10,MU48,c2,40,3.40548218,50.19969787,12.57148591
bill,11,MU49,c2,40,2.63988171,58.10080156,10.49295886
bill,12,MU50,c2,40,,69.70659665,11.74569321
bill,1,MU51,post,20,,32.52047053,11.68475213
bill,2,MU52,post,20,,61.79836239,10.5902416
bill,3,MU53,post,20,2.314049652,72.21785487,7.046723137
bill,4,MU54,post,20,3.127204546,74.04535702,8.248862428
bill,5,MU55,post,20,3.293681716,82.48244292,9.500978349
bill,6,MU56,post,20,3.193761607,82.92889429,9.325855936
bill,7,MU57,post,20,3.15129839,83.45282344,9.157623669
bill,8,MU58,post,20,3.427805149,84.02507521,9.683288976
bill,9,MU59,post,20,3.518233196,91.17995278,11.30722156
bill,10,MU60,post,20,2.949960822,93.57882283,8.180436257
bill,11,MU61,post,20,3.473493523,92.35869254,8.137205591
bill,12,MU62,post,20,,,
bill,13,MU63,post,20,,,
bill,14,MU64,post,20,,,
bill,15,MU65,post,20,,,
bill,1,MU51,post,40,,26.86344823,13.32790622
bill,2,MU52,post,40,,44.39993654,11.77311274
bill,3,MU53,post,40,2.581586991,48.5389767,9.598183455
bill,4,MU54,post,40,3.500936995,47.91780592,11.17961701
bill,5,MU55,post,40,3.583197901,48.39275652,13.4038273
bill,6,MU56,post,40,4.18028786,53.49743625,11.99120332
bill,7,MU57,post,40,3.383102511,48.87945344,13.27381254
bill,8,MU58,post,40,4.526536994,53.49743625,12.89969844
bill,9,MU59,post,40,4.532857114,53.70368853,13.48504066
bill,10,MU60,post,40,3.421842943,57.47411585,12.21571034
bill,11,MU61,post,40,4.094490213,53.95417984,11.18240105
bill,12,MU62,post,40,,41.40401998,12.76924369
bill,13,MU63,post,40,,72.58834225,11.83192026
bill,14,MU64,post,40,,73.82088066,11.01701431
bill,15,MU65,post,40,,79.00563882,11.71129423
chic,1,MU66,c1,20,,10.17712221,6.786241297
chic,2,MU67,c1,20,,14.26575327,10.45866805
chic,3,MU68,c1,20,,14.40618071,7.908890417
chic,4,MU69,c1,20,,14.40618071,7.992001289
chic,5,MU70,c1,20,,31.75543953,7.143281125
chic,6,MU71,c1,20,,36.65219179,7.17326628
chic,7,MU72,c1,20,,37.95608252,8.923577017
chic,8,MU73,c1,20,0.564534287,45.41085746,6.278970156
chic,9,MU74,c1,20,,63.46796379,6.623077204
chic,10,MU75,c1,20,,71.4070466,7.07201182
chic,11,MU76,c1,20,,74.20031289,8.762398917
chic,12,MU77,c1,20,,,
chic,13,MU78,c1,20,,,
chic,14,MU79,c1,20,,,
chic,1,MU66,c1,40,,50.90068049,8.422633767
chic,2,MU67,c1,40,,6.378551037,10.12394755
chic,3,MU68,c1,40,,8.665871322,8.683388918
chic,4,MU69,c1,40,,6.481454319,8.63055512
chic,5,MU70,c1,40,,8.947886093,7.397756716
chic,6,MU71,c1,40,,13.94065375,7.205181784
chic,7,MU72,c1,40,,15.25914734,9.046050436
chic,8,MU73,c1,40,0.19302602,18.91334083,7.329454487
chic,9,MU74,c1,40,,,
chic,10,MU75,c1,40,,29.61825104,7.868844885
chic,11,MU76,c1,40,,56.81101537,9.757571249
chic,12,MU77,c1,40,,41.22043857,6.88816178
chic,13,MU78,c1,40,,41.37152043,6.866788211
chic,14,MU79,c1,40,,63.07419174,5.619469694
chic,1,MU80,c2,20,,8.611173575,7.559936775
chic,2,MU81,c2,20,,9.328270389,9.627650251
chic,3,MU82,c2,20,,9.551256247,6.958468425
chic,4,MU83,c2,20,,10.31415863,7.319776744
chic,5,MU84,c2,20,,17.21982341,6.413645533
chic,6,MU85,c2,20,,28.78782872,6.729268025
chic,7,MU86,c2,20,,29.8621217,7.800142925
chic,8,MU87,c2,20,,34.44742207,6.301994007
chic,9,MU88,c2,20,,35.72117922,7.138114765
chic,10,MU89,c2,20,,37.30318063,6.372113524
chic,11,MU90,c2,20,0.584388071,46.19410114,5.523242569
chic,12,MU91,c2,20,,82.28216837,7.903852503
chic,13,MU92,c2,20,,83.15188054,9.178849419
chic,14,MU93,c2,20,,82.30953652,7.465171557
chic,15,MU94,c2,20,,94.49363903,5.756821244
chic,16,MU95,c2,20,,,
chic,17,MU96,c2,20,,,
chic,1,MU80,c2,40,,4.569292002,8.152254055
chic,2,MU81,c2,40,,4.601822961,9.328483811
chic,3,MU82,c2,40,,4.659479554,7.056501406
chic,4,MU83,c2,40,,4.596615265,7.853254543
chic,5,MU84,c2,40,,8.177190585,6.430262354
chic,6,MU85,c2,40,,13.84011838,6.773742301
chic,7,MU86,c2,40,,13.89162747,8.162617179
chic,8,MU87,c2,40,,20.18681596,6.572006076
chic,9,MU88,c2,40,,24.57955825,7.810989267
chic,10,MU89,c2,40,,22.04271991,6.754595729
chic,11,MU90,c2,40,0.488788101,32.21944292,6.844306894
chic,12,MU91,c2,40,,52.57795491,10.16496802
chic,13,MU92,c2,40,,,
chic,14,MU93,c2,40,,60.63849843,9.980702087
chic,15,MU94,c2,40,,40.99358688,6.458630186
chic,16,MU95,c2,40,,66.56449152,8.153557786
chic,17,MU96,c2,40,,89.1020997,7.164603112
chic,1,MU97,post,20,,10.63778016,7.668827772
chic,2,MU98,post,20,,11.98340557,8.467409727
chic,3,MU99,post,20,,13.17832411,7.27482628
chic,4,MU100,post,20,,22.01674801,7.189687539
chic,5,MU101,post,20,,21.74600626,6.646156011
chic,6,MU102,post,20,,23.74008382,6.363237656
chic,7,MU103,post,20,,32.82925174,6.973525129
chic,8,MU104,post,20,1.254793887,35.60499089,6.318023204
chic,9,MU105,post,20,,39.8389724,7.101272304
chic,10,MU106,post,20,,41.30336699,5.721188167
chic,11,MU107,post,20,,68.7508672,8.258151366
chic,12,MU108,post,20,2.739110197,69.79987349,7.263868002
chic,13,MU109,post,20,,81.94073099,8.462583997
chic,14,MU110,post,20,,89.36195002,6.774436116
chic,15,MU111,post,20,,94.48725976,6.844558215
chic,16,MU112,post,20,,94.52754358,5.556557975
chic,17,MU113,post,20,,,
chic,18,MU114,post,20,,,
chic,19,MU115,post,20,,,
chic,20,MU116,post,20,,,
chic,21,MU117,post,20,,,
chic,22,MU118,post,20,,,
chic,23,MU119,post,20,,,
chic,24,MU120,post,20,,,
chic,25,MU121,post,20,,,
chic,26,MU122,post,20,,,
chic,27,MU123,post,20,,,
chic,1,MU97,post,40,,,
chic,2,MU98,post,40,,,
chic,3,MU99,post,40,,2.693351811,8.411109261
chic,4,MU100,post,40,,,
chic,5,MU101,post,40,,,
chic,6,MU102,post,40,,,
chic,7,MU103,post,40,,15.24482643,7.571722068
chic,8,MU104,post,40,1.798136991,19.42591873,9.318499472
chic,9,MU105,post,40,,,
chic,10,MU106,post,40,,,
chic,11,MU107,post,40,,35.06680079,11.96504534
chic,12,MU108,post,40,3.358631735,41.68034774,11.19167804
chic,13,MU109,post,40,,,
chic,14,MU110,post,40,,48.88752202,10.55801715
chic,15,MU111,post,40,,73.44685902,9.375169809
chic,16,MU112,post,40,,76.01153634,9.912490868
chic,17,MU113,post,40,,49.85110806,11.92214729
chic,18,MU114,post,40,,56.76081268,12.39797843
chic,19,MU115,post,40,,58.16689156,10.11281898
chic,20,MU116,post,40,,58.23915624,12.23919296
chic,21,MU117,post,40,,67.42253089,8.95163463
chic,22,MU118,post,40,,75.98533228,9.734919848
chic,23,MU119,post,40,,76.00480666,8.957039416
chic,24,MU120,post,40,,80.2184774,12.30694584
chic,25,MU121,post,40,,86.05891217,9.032253919
chic,26,MU122,post,40,,90.75877671,8.380227923
chic,27,MU123,post,40,,90.87702139,6.997427523
chris,1,MU124,c1,20,,5.711211367,7.314507472
chris,2,MU125,c1,20,,24.75145196,8.451959538
chris,3,MU126,c1,20,,27.3881006,10.57145452
chris,4,MU127,c1,20,2.230361591,37.00055337,7.859899726
chris,5,MU128,c1,20,,41.2634044,7.610426604
chris,6,MU129,c1,20,0.699389547,43.39307032,8.405649268
chris,7,MU130,c1,20,0.887416421,46.0524225,9.579196172
chris,8,MU131,c1,20,3.494672391,48.20404962,8.624287698
chris,9,MU132,c1,20,0.77426319,50.86547414,8.184687789
chris,10,MU133,c1,20,1.445256103,56.24937723,6.213256015
chris,11,MU134,c1,20,1.358027785,59.48240224,8.970006939
chris,12,MU135,c1,20,2.692425283,79.52752438,6.857197691
chris,13,MU136,c1,20,1.966981825,79.562964,7.674460876
chris,14,MU137,c1,20,2.24392055,81.22276994,6.495596378
chris,15,MU138,c1,20,1.774980225,82.33751894,8.629437834
chris,16,MU139,c1,20,,,
chris,17,MU140,c1,20,,,
chris,18,MU141,c1,20,,,
chris,1,MU124,c1,40,,3.392701943,7.618059957
chris,2,MU125,c1,40,,24.5320406,9.126103615
chris,3,MU126,c1,40,,25.89966359,11.22178364
chris,4,MU127,c1,40,1.349797472,14.71377828,8.291969108
chris,5,MU128,c1,40,,27.90931919,8.529480459
chris,6,MU129,c1,40,0.684403692,33.84173292,8.842221074
chris,7,MU130,c1,40,0.054084001,27.15573098,10.66087021
chris,8,MU131,c1,40,5.057426625,45.02817713,9.96439566
chris,9,MU132,c1,40,1.391509864,44.67355604,9.479331884
chris,10,MU133,c1,40,1.48995867,35.80590973,6.769219927
chris,11,MU134,c1,40,0.99717193,48.29768459,11.56878048
chris,12,MU135,c1,40,2.030519217,57.25519868,9.978409704
chris,13,MU136,c1,40,2.192894632,57.21183177,10.56405251
chris,14,MU137,c1,40,2.948948461,66.23289562,8.87739781
chris,15,MU138,c1,40,1.783571083,54.69760161,10.60662562
chris,16,MU139,c1,40,,57.35434237,8.86986448
chris,17,MU140,c1,40,,68.59668507,10.04716813
chris,18,MU141,c1,40,,72.09822549,9.020746537
chris,1,MU142,c2,20,,8.320145145,6.848295194
chris,2,MU143,c2,20,,10.17037606,8.53439476
chris,3,MU144,c2,20,,13.05259423,8.045461696
chris,4,MU145,c2,20,,33.122286,10.08859481
chris,5,MU146,c2,20,,39.07855398,7.622831125
chris,6,MU147,c2,20,,45.28924088,10.63494006
chris,7,MU148,c2,20,1.616909766,46.38326246,9.527923848
chris,8,MU149,c2,20,,46.87077873,9.682694878
chris,9,MU150,c2,20,,47.44355144,7.943797878
chris,10,MU151,c2,20,,47.44270078,7.212689956
chris,11,MU152,c2,20,1.808354923,47.49501626,8.178540256
chris,12,MU153,c2,20,,55.02507769,6.715422064
chris,13,MU154,c2,20,,55.29473059,9.110235569
chris,14,MU155,c2,20,,65.44403444,7.160142764
chris,15,MU156,c2,20,,65.67648845,6.118376716
chris,16,MU157,c2,20,,65.75675124,9.761874968
chris,17,MU158,c2,20,2.154173201,67.87787669,9.820276782
chris,18,MU159,c2,20,1.394465846,87.10660602,6.320098016
chris,19,MU160,c2,20,,,
chris,20,MU161,c2,20,,,
chris,21,MU162,c2,20,,,
chris,22,MU163,c2,20,,,
chris,1,MU142,c2,40,,4.893417112,7.759444162
chris,2,MU143,c2,40,,10.46957224,9.828262774
chris,3,MU144,c2,40,,,
chris,4,MU145,c2,40,,23.51530043,11.31252539
chris,5,MU146,c2,40,,27.08115789,9.250225647
chris,6,MU147,c2,40,,,
chris,7,MU148,c2,40,1.743639681,25.27928823,11.11714846
chris,8,MU149,c2,40,,,
chris,9,MU150,c2,40,,,
chris,10,MU151,c2,40,,26.88419104,9.392118845
chris,11,MU152,c2,40,2.057807194,28.44562261,10.52100467
chris,12,MU153,c2,40,,,
chris,13,MU154,c2,40,,,
chris,14,MU155,c2,40,,48.60538584,9.392118845
chris,15,MU156,c2,40,,,
chris,16,MU157,c2,40,,41.17427237,10.52100467
chris,17,MU158,c2,40,1.962792202,49.48279237,9.944259104
chris,18,MU159,c2,40,1.598861394,55.33436342,11.9505919
chris,19,MU160,c2,40,,45.99206422,11.80418805
chris,20,MU161,c2,40,,72.51954474,10.94954506
chris,21,MU162,c2,40,,82.69206278,9.441846764
chris,22,MU163,c2,40,,85.57688155,9.960995372
chris,1,MU164,post,20,,27.54957288,9.295498139
chris,2,MU165,post,20,,42.93955498,10.39819821
chris,3,MU166,post,20,,44.22911222,9.706953167
chris,4,MU167,post,20,,62.59184549,8.93633414
chris,5,MU168,post,20,,66.16247887,9.569843371
chris,6,MU169,post,20,2.096029793,69.41334317,9.645453172
chris,7,MU170,post,20,2.199743886,75.19800553,9.110045274
chris,8,MU171,post,20,1.983485101,75.31805671,9.232120783
chris,9,MU172,post,20,,,
chris,10,MU173,post,20,,,
chris,11,MU174,post,20,,,
chris,12,MU175,post,20,,,
chris,13,MU176,post,20,,,
chris,14,MU177,post,20,,,
chris,1,MU164,post,40,,20.06414018,11.41500273
chris,2,MU165,post,40,,,
chris,3,MU166,post,40,,42.96910216,10.00566161
chris,4,MU167,post,40,,36.53425885,9.310077765
chris,5,MU168,post,40,,34.64842787,13.78692662
chris,6,MU169,post,40,3.142344929,56.0050226,10.37044221
chris,7,MU170,post,40,1.970179732,53.01416875,9.37770312
chris,8,MU171,post,40,2.600628998,54.10661549,11.08084216
chris,9,MU172,post,40,,65.69640255,13.26214121
chris,10,MU173,post,40,,74.24982204,9.130154493
chris,11,MU174,post,40,,75.46964522,8.867618525
chris,12,MU175,post,40,,86.72113899,14.73425155
chris,13,MU176,post,40,,90.25659675,8.805321511
chris,14,MU177,post,40,,95.75636079,9.593462944
clare,1,MU178,c1,20,,,
clare,2,MU179,c1,20,,,
clare,3,MU180,c1,20,,10.04788588,7.084391935
clare,4,MU181,c1,20,,10.038534,5.883514205
clare,5,MU182,c1,20,,25.56022609,6.607504319
clare,6,MU183,c1,20,0.555840186,44.28475359,10.04787615
clare,7,MU184,c1,20,,44.43572235,10.09787201
clare,8,MU185,c1,20,,54.34538994,5.672407939
clare,9,MU186,c1,20,,74.77433529,7.52060616
clare,10,MU187,c1,20,,75.25597995,9.598580576
clare,11,MU188,c1,20,,,
clare,12,MU189,c1,20,,,
clare,13,MU190,c1,20,,,
clare,14,MU191,c1,20,,,
clare,15,MU192,c1,20,,,
clare,16,MU193,c1,20,,,
clare,17,MU194,c1,20,,,
clare,1,MU178,c1,40,,,
clare,2,MU179,c1,40,,,
clare,3,MU180,c1,40,,7.826423632,7.650609159
clare,4,MU181,c1,40,,7.81903805,5.993506329
clare,5,MU182,c1,40,,9.812008304,7.265865805
clare,6,MU183,c1,40,0.846440709,38.60155043,14.82191407
clare,7,MU184,c1,40,,,
clare,8,MU185,c1,40,,29.58828916,6.793116454
clare,9,MU186,c1,40,,,
clare,10,MU187,c1,40,,,
clare,11,MU188,c1,40,,58.00790195,10.60002346
clare,12,MU189,c1,40,,61.27723457,8.917581406
clare,13,MU190,c1,40,,64.54071444,13.39558406
clare,14,MU191,c1,40,,71.55688065,5.897440704
clare,15,MU192,c1,40,,73.05424912,5.791813394
clare,16,MU193,c1,40,,73.24566972,12.47264126
clare,17,MU194,c1,40,,74.35448865,9.492098306
clare,1,MU195,c2,20,,13.42230898,7.210382965
clare,2,MU196,c2,20,,14.19784025,6.094058947
clare,3,MU197,c2,20,,19.33372474,6.779538504
clare,4,MU198,c2,20,,17.98486748,6.670787579
clare,5,MU199,c2,20,,41.47903847,15.05345649
clare,6,MU200,c2,20,1.62371202,42.94344168,8.243774311
clare,7,MU201,c2,20,,49.39806745,7.540498983
clare,8,MU202,c2,20,1.416484456,57.51573388,7.4592662
clare,9,MU203,c2,20,,61.81835642,15.46348779
clare,10,MU204,c2,20,1.664700684,68.62575554,8.096992553
clare,11,MU205,c2,20,,73.0743914,6.235738627
clare,12,MU206,c2,20,,96.2307424,6.502621516
